"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"GW999TNB","journalArticle","2015","Gowder, Paul","Critical Race Science and Critical Race Philosophy of Science","Fordham Law Review","","","","","","2015","2016-02-21 04:32:39","2016-02-21 04:32:39","","3155–3177","","6","83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZUFGIBKD","journalArticle","2013","Gowder, Paul","Death and Taxes in NFIB v. Sebelius","Public Affairs Quarterly","","","","","","2013","2016-02-21 04:32:39","2016-02-21 04:32:39","","243–266","","3","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3TNEXUZN","journalArticle","2014","Gowder, Paul","Democracy, Solidarity, and the Rule of Law: Lessons from Athens","Buffalo Law Review","","","","","","2014","2016-02-21 04:32:39","2016-02-21 04:32:39","","1–67","","1","62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8EW7G8CA","journalArticle","2014","Gowder, Paul","Equal Law in an Unequal World","Iowa Law Review","","","","","","2014","2016-02-21 04:32:39","2016-02-21 04:32:39","","1021–1081","","","99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N389THNI","journalArticle","2014","Gowder, Paul","Institutional Corruption and the Rule of Law","Les ateliers de l'éthique/The Ethics Forum","","","","","","2014","2016-02-21 04:32:39","2016-02-21 04:32:39","","84–102","","1","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WP3NQF3D","journalArticle","2014","Gowder, Paul","Institutional Values, or How to Say What Democracy Is","Southwest Philosophy Review","","","","","","2014","2016-02-21 04:32:39","2016-02-21 04:32:39","","235–242","","1","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AXIWISZU","journalArticle","2014","Gowder, Paul","Market Unfreedom","Critical Review","","","","","","2014","2016-02-21 04:32:39","2016-02-21 04:32:39","","306–347","","3-4","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T636HPAU","journalArticle","2005","Camara, KAD; Gowder, Paul","Quasipublic Executives","Yale Law Journal","","","","","","2005","2016-02-21 04:32:39","2016-02-21 04:32:39","","2254–2278","","","115","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RRNHU7XI","journalArticle","2015","Gowder, Paul","Racial Classification and Ascriptive Injury","Washington University Law Review","","","","","","2015","2016-02-21 04:32:39","2016-02-21 04:32:39","","325–396","","2","92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EB6SK44A","journalArticle","2006","Gowder, Paul","Secrecy as Mystification of Power: Meaning and Ethics in the Security State","IS Journal of Law and Policy for the Information Society","","","","","","2006","2016-02-21 04:32:39","2016-02-21 04:32:39","","1–26","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PQNM7J5U","journalArticle","2014","Gowder, Paul","The Countermajoritarian Complaint","Transnational Law and Contemporary Problems","","","","","","2014","2016-02-21 04:32:39","2016-02-21 04:32:39","","7–33","","","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EHHHG5S3","bookSection","2014","Gowder, Paul","The Health Insurance Mandate Really Is a Tax, and That's a Good Thing Too","The Affordable Care Act Decision: Philosophical and Legal Implications","","","","","","2014","2016-02-21 04:32:39","2016-02-21 04:32:39","","103–116","","","","","","","","","","","Routledge","","","","","","","","","","","","","","","Allhoff, Fritz; Hall, Mark","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
